Time,CPU Usage (%),Memory Usage (%),Disk Usage (%),Processes
22:41:44,17.2,64.5,2.2,256
22:41:45,17.4,64.7,2.2,256
22:41:46,11.9,65.2,2.2,254
22:41:47,3.3,64.6,2.2,254
22:41:49,8.6,64.8,2.2,256
22:41:50,13.7,66.2,2.2,255
22:41:51,10.3,66.2,2.2,254
22:41:52,7.9,66.3,2.2,256
22:41:53,11.3,66.9,2.2,257
22:41:54,13.4,66.0,2.2,257
22:41:55,12.8,66.5,2.2,257
22:41:56,10.5,66.7,2.2,257
22:41:57,8.2,66.7,2.2,257
22:41:58,5.2,66.7,2.2,257
22:41:59,8.8,66.6,2.2,257
22:42:00,5.2,66.6,2.2,257
22:42:01,5.3,66.6,2.2,257
22:42:02,4.0,66.5,2.2,257
22:42:03,6.6,66.5,2.2,256
22:42:04,0.5,66.5,2.2,256
22:42:05,5.3,66.2,2.2,256
22:42:06,5.5,66.1,2.2,256
22:42:07,5.3,66.2,2.2,256
22:42:08,11.2,66.4,2.2,256
22:42:09,4.5,66.4,2.2,255
22:42:10,5.7,66.4,2.2,255
22:42:11,4.1,66.4,2.2,255
22:42:12,9.1,66.3,2.2,255
22:42:13,5.3,66.4,2.2,255
22:42:14,1.5,66.3,2.2,255
